No,Style Name,Category,Keywords,Primary Colors,Secondary Colors,Typography,Effects,Best For,Avoid For,Complexity,Era,Mark,Container,Layout,Outline,Variant
1,Minimalist,General,"clean, simple, essential, whitespace, geometric, modern",#000000 #FFFFFF #F5F5F5,Single accent only,Sans-serif thin weight,"None, sharp edges, high contrast",Tech startups SaaS apps professional services,Playful brands children entertainment,Low,2010s-Present,geometric,circle,left,1,none
2,Wordmark,Typography,"logotype, text-only, custom lettering, brand name",Brand-specific,Monochromatic,Custom modified typeface,"Kerning adjustments, ligatures",Established brands name recognition,Complex names visual-heavy industries,Low,Classic,wordmark,none,inline,0,none
3,Lettermark,Typography,"monogram, initials, abbreviated, compact",Brand-specific usually 2 colors,Minimal accent,Bold geometric sans-serif,"Interlocking letters, negative space",Long company names professional firms,Consumer brands needing recognition,Medium,Classic,monogram,square,left,0,none
4,Abstract Mark,Symbol,"geometric, non-representational, unique shape",Bold vibrant colors,Gradient or flat,Modern sans-serif pairing,"Gradients, 3D effects, flat design",Tech companies differentiating brands,Traditional industries,Medium,Modern,geometric,none,left,0,none
5,Emblem,Badge,"seal, crest, enclosed, official",#1E3A8A #FFD700 #000000,Metallic accents,Serif or gothic typeface,"Banners, shields, circular frame",Universities government traditional brands,Modern tech startups,High,Classic,monogram,shield,stacked,0,none
6,Combination Mark,Hybrid,"icon + text, versatile, complete",Brand-specific,Coordinated palette,Balanced with icon,"Lockup variations, responsive",New brands versatile applications,Simple recognition needs,Medium,Various,geometric,square,left,0,none
7,Geometric,Modern,"shapes, mathematical, precise, structured",Bold primary colors,Contrasting accent,Geometric sans-serif,"Clean angles, perfect shapes, symmetry",Tech architecture modern brands,Organic natural brands,Low,Modern,geometric,hexagon,left,0,none
8,Gradient,Modern,"color transition, vibrant, dynamic, dimensional",Multi-color spectrum,Smooth transitions,Modern sans-serif,"Color flow, blur effects, 3D depth",Tech apps social media modern brands,Traditional conservative industries,Medium,2015-Present,geometric,circle,left,0,gradient
9,Flat Design,Modern,"2D, solid colors, no shadows, minimal",Bright solid colors,Limited palette 3-4 max,Clean sans-serif,"No gradients, no shadows, simple shapes",Apps websites digital products,Luxury traditional premium,Low,2010s-Present,geometric,circle,left,0,none
10,Line Art,Minimal,"outline, single weight, continuous, elegant",#000000 or single color,Monochromatic,Thin weight sans-serif,"Stroke only, no fills, continuous lines",Fashion beauty boutique brands,Bold energetic brands,Low,Modern,line,none,left,1,none
11,Negative Space,Clever,"hidden element, dual meaning, optical illusion",Usually 2 colors max,High contrast pairs,Clean readable font,"Clever cutouts, figure-ground reversal",Creative agencies clever brands,Straightforward industries,Medium,Timeless,monogram,circle,left,0,knockout
12,Brutalist,Bold,"raw, stark, bold, anti-design",#FF0000 #0000FF #FFFF00 #000000,Primary colors only,Heavy bold sans-serif,"No effects, raw, bold blocks",Art creative counter-culture tech blogs,Conservative corporate healthcare,Low,1950s/2020s Revival,monogram,square,left,0,brutalist
13,Luxury/Premium,Aesthetic,"elegant, sophisticated, high-end, refined",#000000 #FFFFFF #FFD700,Gold silver metallics,Elegant serif thin sans,"Foil, emboss, minimal, premium feel",Fashion jewelry luxury real estate,Budget mass-market casual,Medium,Timeless,monogram,ring,stacked,0,none
14,Corporate/Professional,Business,"trustworthy, stable, serious, established",#003366 #666666 #FFFFFF,Conservative blues grays,Clean professional sans,"Subtle, refined, balanced",Financial legal consulting corporate,Creative entertainment youth,Low,Classic,geometric,shield,left,0,none
15,Tech/Digital,Industry,"modern, innovative, forward, digital",#0080FF #00D4FF #6366F1,Gradient tech colors,Geometric modern sans,"Circuit, pixel, data visualization",Technology startups software apps,Traditional handmade artisan,Medium,Modern,geometric,hexagon,left,0,gradient
16,Swiss/International,Design,"grid-based, rational, clean, functional",#000000 #FFFFFF neutral,Minimal color use,Helvetica style sans-serif,"Grid alignment, mathematical spacing",Corporate design professional,Decorative playful brands,Low,1950s-Present,wordmark,none,inline,0,accent
17,Bauhaus,Design,"geometric, functional, primary colors, modernist",#FF0000 #FFFF00 #0000FF #000000,Primary colors only,Geometric sans-serif,"Circles squares triangles, functional",Architecture design schools modern brands,Traditional ornate decorative,Medium,1920s-1930s,geometric,circle,stacked,0,bauhaus
18,Vintage Badge,Retro,"circular, heritage, authentic, craft",#8B4513 #2F4F4F #D4AF37,Muted vintage palette,Serif or slab serif,"Banners, stars, established dates",Breweries coffee shops craft brands,Modern minimalist tech,High,1900s-1950s,monogram,ring,stacked,0,badge
19,Duotone,Modern,"two-color, high contrast, bold, graphic",Two contrasting colors,No additional colors,Bold sans-serif,"Two-color overlay, high contrast",Graphic design music modern brands,Multi-color needs complex imagery,Low,2016-Present,geometric,circle,left,0,duotone
20,Outline/Stroke,Minimal,"hollow, transparent, modern, light",Single color or gradient,Background contrast,Matching weight typeface,"Stroke only, no fill, see-through",Fashion tech modern minimal brands,Bold impactful needs,Low,Modern,line,circle,left,1,none
21,Hexagonal,Shape,"modern, tech, honeycomb, structured",Tech-forward colors,Geometric accent,Modern geometric sans,"Six-sided, tessellating, tech feel",Tech blockchain chemical science,Traditional organic natural,Medium,Modern,geometric,hexagon,stacked,1,none
22,Monoline,Minimal,"single line weight, consistent, clean",Single color typically,Monochromatic,Matching weight typeface,"Uniform stroke, no weight variation",Coffee shops boutiques craft brands,Bold impactful industrial,Low,Modern,line,none,left,1,none
23,Letterform,Typography,"single letter, initial, bold statement",Brand primary color,Background contrast,Custom letter design,"One letter, modified, distinctive",Personal brands design studios agencies,Multi-initial brands corporations,Medium,Classic,monogram,none,left,0,none
24,Dynamic Mark,Motion,"movement, speed, progress, forward",Energetic warm colors,Motion blur colors,Italic or forward-leaning,"Motion lines, implied movement",Sports logistics transportation,Static calm wellness,Medium,Modern,geometric,none,left,0,slant
25,Circular,Shape,"round, infinite, complete, unified",Enclosed palette,Internal colors,Curved or circular type,"Full circle, badge-like, contained",Global brands apps communities,Angular sharp brands,Medium,Timeless,monogram,circle,stacked,0,none
