No,Industry,CIP Style,Primary Colors,Secondary Colors,Typography,Mood,Art Direction,Paper Stock
1,Technology,Modern Tech,#4F46E5 #0EA5E9,#0F172A #F8FAFC,geometric sans headings with a neutral grotesque body,precise and forward-looking,matte surfaces with slim metal accents and generous white space,
2,Finance,Corporate Minimal,#123B5A #C9A227,#F5F1E8 #26323F,transitional serif headings with a humanist sans body,steady and discreet,gold foil accents with restrained layouts,navy cotton paper
3,Legal,Classic Traditional,#1C2B4A #8C7351,#F7F4EE #333A45,high-contrast serif headings with a classic sans body,authoritative and measured,symmetrical layouts with restrained classical detail,laid paper with letterpress detail
4,Healthcare,Clean Care,#0E7C86 #2F7D4F,#F2FBF7 #17313A,rounded sans headings with an airy humanist sans body,calm and reassuring,soft matte finishes with rounded corners and plenty of air,
5,Education,Warm Academic,#22456E #E8A33D,#FDF6EC #2E3440,bookish serif headings with a friendly sans body,welcoming and clear,notebook grid motifs with highlighter accents,uncoated stock
6,Hospitality,Refined Welcome,#2E2A27 #B08D57,#F4EFE9 #4A443F,elegant serif headings with a quiet sans body,warm and composed,brass and walnut textures with low-key luxury,linen paper
7,Food & Beverage,Honest Craft,#B4552D #F2C94C,#FBF3E4 #3E2F23,hand-cut serif headings with a sturdy sans body,appetizing and grounded,letterpress-style labels with visible grain,kraft paper
8,Fashion,Editorial Mono,#101010 #F2EFEA,#8A8F98 #495057,high-contrast display headings with a grotesque body,sharp and current,stark contrast with cool grey accents,glossy coated stock
9,Real Estate,Modern Estate,#1F4D3A #D9C8A9,#F7F3EB #233240,slab serif headings with a clean sans body,established and calm,stone textures with bronze accents and wide margins,
10,Construction,Built Form,#37424E #F5A623,#ECEFF1 #1F262E,heavy grotesque headings with a workmanlike sans body,solid and practical,hazard-stripe accents with stencil numerals,graphite board
11,Energy,Current Blue,#0B3C66 #58C4DC,#EAF4F8 #10222E,condensed sans headings with a technical sans body,reliable and modern,aluminium finishes with circuit-line motifs and cool light,
12,Nonprofit,Open Heart,#E4572E #2667A6,#FFF6EE #22303C,soft serif headings with a humanist sans body,hopeful and direct,two-color prints with generous line spacing,recycled stock
13,Creative Agency,Studio Pop,#5B2E9E #F2F0EB,#12B5A5 #17151E,expressive display headings with a mono body,bold and playful,duotone prints with oversized crops and experimental grids,
14,Consulting,Quiet Authority,#33475B #B0764B,#F4F5F7 #1E2A38,serif headings with a neutral sans body,credible and precise,copper foil accents with data-light layouts,soft-cover document stock
15,E-commerce & Retail,Shelf Bold,#D6336C #1D1D1F,#FFF0F5 #495057,chunky rounded headings with a compact sans body,lively and urgent,bright cartons with sticker-sheet accents and friendly arrows,
16,Fitness & Wellness,Vital Green,#1E5631 #A3B18A,#F1F5EF #1C2B22,athletic uppercase headings with a light sans body,energetic and clean,deep forest tones with sage accents and technical knit textures,
17,Travel,Horizon Blue,#0E5A8A #F2994A,#F3F8FB #17394D,wide-tracked sans headings with an editorial serif body,open and optimistic,sky-washed backdrops with ticket-stub motifs and sunlit shots,
18,Automotive,Carbon Line,#16181D #C8102E,#E9ECEF #4A4F57,italic display headings with a technical sans body,fast and engineered,carbon weave with red pinstripes and studio reflections,
19,Agriculture,Field & Grain,#3E6B2F #D9B34A,#F7F4E8 #33301F,rustic serif headings with a plain sans body,honest and rooted,burlap textures with stenciled weights and measures,kraft board
20,Entertainment & Media,Afterhours,#14121F #7C4DFF,#EDE9FE #1B1930,neon display headings with a clean sans body,electric and current,dark matte fields with glow accents and ticket textures,
