No,Style Category,Type,Keywords,Primary Colors,Secondary Colors,Effects & Animation,Best For,Do Not Use For,Light Mode ✓,Dark Mode ✓,Performance,Accessibility,Mobile-Friendly,Conversion-Focused,Framework Compatibility,Era/Origin,Complexity,AI Prompt Keywords,CSS/Technical Keywords,Implementation Checklist,Design System Variables,Style ID,Aliases,Status,Parent Style ID,Replacement Domain,Replacement ID,Preferred Mode
1,Minimalist,Banner,"white space, single focal point, one message, generous margins, restrained palette, clean sans-serif","Palette primary and background only","One accent for the rule line or CTA","No motion on export; optional 200ms CTA hover on a live page","SaaS launches, enterprise webinars, documentation and release headers","Flash sales, entertainment brands, crowded ad placements",supported,supported,cost:low|drivers:none,"risk:low|requires:contrast-text-4.5",adaptable,✓ High,html|css,2010s flat web,Low,"Design a minimalist banner. Use one message, plain background, wide margins, one accent color, and a clean sans-serif headline. Drop every element that does not carry the message.","padding on 10% of the short edge, one accent rule of 4px, font-weight 600-700, no box-shadow, no gradient","☐ One focal message only, ☐ Margins at least 8% of the short edge, ☐ Single accent color, ☐ Text contrast 4.5:1 measured","--banner-pad, --accent-color, --headline-weight",minimalist,Minimal|Clean,active,,,,auto
2,Bold Typography,Banner,"oversized headline, type as the image, tight leading, uppercase, heavy weight, almost no imagery","Palette foreground on palette background","None beyond the two palette roles","No motion on export; optional 150ms CTA underline on a live page","Product announcements, webinars, sale launches, anything with a short strong line","Long headlines, legal or compliance copy, small ad units under 320px wide",supported,supported,cost:low|drivers:none,"risk:medium|requires:contrast-text-4.5,text-fits-canvas",conditional,✓ High,html|css,1920s poster revived,Low,"Design a bold typography banner. Use an oversized uppercase headline as the entire visual, tight letter-spacing, heavy weight, plain two-color palette, and no imagery.","font-size 16-26% of banner height capped by canvas width, letter-spacing -0.03em, line-height 1.0, font-weight 800-900","☐ Headline fills 60% or more of the canvas, ☐ Longest word fits the width, ☐ Maximum 7 words, ☐ Text contrast 4.5:1 measured","--headline-scale, --headline-tracking, --headline-weight",bold-typography,Bold Type|Type First,active,,,,auto
3,Gradient Wash,Banner,"smooth color blend, mesh feel, soft depth, modern SaaS look, calm motion implied","Palette primary to accent blend","Palette secondary as a third stop","No motion on export; optional slow background-position shift on a live page","Modern SaaS and dev-tool covers, product pages, app store headers","Formal sectors, print with strict brand colors, high-contrast accessibility needs",supported,supported,cost:low|drivers:none,"risk:medium|requires:contrast-text-4.5-on-gradient",adaptable,✓ High,html|css,2010s gradients revived,Low,"Design a gradient wash banner. Blend the palette primary into the accent across the canvas, keep the headline in the palette on-primary color, and add one soft radial highlight.","linear-gradient 115deg three stops, radial-gradient highlight at 78% 22% clear of the copy, text color from on-primary token","☐ Gradient endpoints both carry the brand, ☐ Headline contrast 4.5:1 on the lightest stop, ☐ One highlight only, ☐ No banding on wide blends","--gradient-angle, --highlight-position, --on-gradient-text",gradient-wash,Gradient|Color Wash,active,,,,auto
4,Geometric Abstract,Banner,"shapes as the visual, circles and rings, grid order, abstract mark, tech feel","Palette foreground for text","Palette secondary and accent for shapes","No motion on export; optional 300ms shape drift on a live page","Developer tools, fintech, infrastructure, B2B technology covers","Warm artisan brands, editorial publications, soft lifestyle products",supported,supported,cost:low|drivers:none,"risk:low|requires:contrast-text-4.5",adaptable,◐ Medium,html|css,1920s Bauhaus,Medium,"Design a geometric abstract banner. Use two or three large circles or rings in the palette secondary and accent placed off-canvas edges, flat fills, and a left-aligned headline over the palette background.","absolutely-positioned shapes with negative offsets, aspect-ratio 1, border rings 4px or wider, opacity 0.4-0.6","☐ Shapes bleed off at least one edge, ☐ Headline area stays clear, ☐ Shape opacity under 0.6, ☐ Text contrast 4.5:1 measured","--shape-opacity, --ring-width, --bleed-offset",geometric-abstract,Geometric|Abstract Shapes,active,,,,auto
5,Glassmorphism,Banner,"frosted panel, blurred backdrop, translucent card, light border, layered depth","Palette primary and secondary under the glass","White glass tint at 14-18% opacity","No motion on export; optional 200ms panel lift on a live page","SaaS and app covers, product update banners, modern brand headers","Text-heavy ads, print, small units under 300px where blur costs clarity",supported,supported,cost:low|drivers:backdrop-filter,"risk:medium|requires:contrast-text-4.5,backdrop-fallback",conditional,◐ Medium,html|css,2020s Modern,Medium,"Design a glassmorphism banner. Put a soft palette gradient behind a frosted glass panel that holds the headline, use a translucent white fill, a 1px light border, and backdrop blur.","backdrop-filter blur 12-16px, background rgba(255,255,255,0.16), border 1px rgba(255,255,255,0.4), border-radius 16-20px","☐ Blur 12-16px applied, ☐ Panel fill 14-18% white, ☐ Border visible on both stops, ☐ Solid-color fallback for no-blur engines","--glass-fill, --glass-border, --blur-amount",glassmorphism,Glass|Frosted,active,,,,auto
6,Neon Glow,Banner,"dark field, glowing accents, night palette, tech and gaming energy, luminous edges","Palette accent as the glow color","Shaded palette primary as the dark field","No motion on export; optional 400ms glow pulse on a live page","Gaming, crypto, developer events, night-mode product covers","Corporate and healthcare messaging, bright daylight placements, print",conditional,supported,cost:low|drivers:none,"risk:high|requires:contrast-text-4.5,glow-not-only-cue",conditional,◐ Medium,html|css,1980s neon revived,Medium,"Design a neon glow banner. Use a very dark shade of the palette primary as the field, glow the headline and CTA with the palette accent, and keep one glow color so the banner stays readable.","radial field from shaded primary (22% core to 10% edge), layered text-shadow 0 0 8px and 0 0 26px accent, CTA outline 2px accent","☐ Field reads near-dark with a soft center, ☐ One glow color only, ☐ Glow never carries meaning alone, ☐ Text contrast 4.5:1 without the glow","--glow-color, --glow-radius, --field-shade",neon-glow,Neon|Cyber Glow,active,,,,auto
7,Duotone Split,Banner,"two color fields, skewed divide, poster energy, flat contrast, bold divide","Palette primary and accent as the two fields","None, the split is the visual","No motion on export; optional 250ms divide slide on a live page","Campaigns, sale events, community covers, sports and events","Luxury minimal brands, dense ad networks, three-plus color brands",supported,supported,cost:low|drivers:none,"risk:medium|requires:contrast-text-4.5-on-both-fields",adaptable,✓ High,html|css,1960s print revived,Low,"Design a duotone split banner. Fill the left two thirds with the palette primary and cut the right edge with a skewed accent field, set the headline in the on-primary color, and invert the CTA chip.","background primary, skewed accent field via transform skewX(-12deg), CTA filled with on-primary and primary text","☐ Exactly two color fields, ☐ Divide bleeds off top and bottom, ☐ Headline sits on one field only, ☐ Contrast 4.5:1 on both fields","--divide-angle, --field-ratio, --cta-invert",duotone-split,Duotone|Two Tone,active,,,,auto
8,Editorial Grid,Banner,"magazine layout, serif headline, hairline rules, structured margins, journalistic feel","Palette foreground for headline and rules","Palette secondary for hairlines and italic subtext","No motion on export; static by design","Media brands, reports, research drops, thought-leadership covers","Playful consumer brands, gaming, flash retail",supported,supported,cost:low|drivers:none,"risk:low|requires:contrast-text-4.5",adaptable,◐ Medium,html|css,1900s print,Low,"Design an editorial grid banner. Use a serif headline, a heavy top rule, a hairline bottom rule, italic serif subtext, and strict left alignment on the palette background.","border-top 8-10px solid foreground, border-bottom 1px solid secondary, serif font stack, italic subtext","☐ Top rule at least 6px, ☐ Headline and subtext share the left edge, ☐ One typeface family in two styles, ☐ Text contrast 4.5:1 measured","--rule-weight, --serif-stack, --grid-gutter",editorial-grid,Editorial|Magazine,active,,,,auto
9,Flat Solid,Banner,"single flat field, centered message, no gradients, no texture, poster clarity","Palette primary as the full field","None, one field only","No motion on export; optional 150ms CTA press on a live page","App install banners, awareness campaigns, retina-critical placements","Depth-rich product shots, luxury texture brands, subtle rebrands",supported,supported,cost:low|drivers:none,"risk:low|requires:contrast-text-4.5",adaptable,✓ High,html|css,2010s flat,Low,"Design a flat solid banner. Fill the canvas with the palette primary, center the headline in the on-primary color, and use the palette background color for the CTA chip.","background primary, centered flex column, CTA filled with background token, weight 700-800","☐ One flat color field, ☐ Headline centered and short, ☐ CTA inverts the field colors, ☐ Text contrast 4.5:1 measured","--field-color, --cta-invert, --align",flat-solid,Flat|Solid Color,active,,,,auto
10,Dark Luxe,Banner,"near-black field, jewel accent, serif elegance, thin frame, premium restraint","Shaded palette foreground as the near-black field","Palette accent as the jewel line and frame","No motion on export; static by design","Premium and fintech covers, award submissions, invitation and event headers","Playful kids brands, discount retail, bright social placements",conditional,supported,cost:low|drivers:none,"risk:medium|requires:contrast-text-4.5",adaptable,◐ Medium,html|css,2020s Modern,Medium,"Design a dark luxe banner. Use a near-black shade of the palette foreground as the field, a serif headline in a soft off-white, one jewel-toned rule from the palette accent, and a thin inner frame.","background at 14% of foreground, serif headline, accent rule 2-4px, inner frame 1px at 50% accent opacity","☐ Field is near-black, not pure black, ☐ One jewel accent only, ☐ Frame inset at half the margin, ☐ Text contrast 4.5:1 measured","--field-shade, --frame-inset, --accent-rule",dark-luxe,Dark Mode|Moody|Luxe,active,,,,auto
